subject,session1,session2,label,volume1,volume2,abs_volume_diff,dice,surface_dice,hd95,label_name,volume_diff,percentage_vol_diff
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1002,4348.0,4249.0,99.0,0.8307549145050599,0.990748319994644,1.0,Caudal Anterior Cingulate L,99.0,0.023299599905860204
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1006,1291.0,1466.0,175.0,0.7870874138556402,0.9731523219689916,1.0,Entorhinal Cortex L,-175.0,-0.11937244201909959
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1007,8545.0,8984.0,439.0,0.7716355753323064,0.9682722910716994,1.0,Fusiform Gyrus L,-439.0,-0.048864648263579696
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1008,15324.0,16002.0,678.0,0.6568984230351784,0.9269161706070812,1.7320508075688772,Inferior Parietal L,-678.0,-0.04236970378702662
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1012,9711.0,9907.0,196.0,0.8329085533693547,0.9903335363825958,1.0,Lateral Orbitofrontal L,-196.0,-0.019783991117391743
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1014,5013.0,5184.0,171.0,0.809846033147004,0.982313971621143,1.0,Medial Orbitofrontal L,-171.0,-0.03298611111111111
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1028,29393.0,28297.0,1096.0,0.8307852314092564,0.9876558318456912,1.0,Superior Frontal L,1096.0,0.038732021062303425
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1030,18234.0,18967.0,733.0,0.8300314507674524,0.9792424340034094,1.0,Superior Temporal L,-733.0,-0.03864606948911267
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,1035,6596.0,6805.0,209.0,0.8630699201552123,0.9918660690455964,1.0,Insula L,-209.0,-0.03071271124173402
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,2002,3308.0,2655.0,653.0,0.7543182961596512,0.942663581880229,2.0,Caudal Anterior Cingulate R,653.0,0.24595103578154426
sub-01,sub-01_ses-siteATV,sub-01_ses-siteCOI,2006,1050.0,1123.0,73.0,0.7565577542567878,0.9556710656071886,1.4142135623730951,Entorhinal Cortex R,-73.0,-0.06500445235975066
